cluster_name,acousticness,instrumentalness,speechiness,popularity
Acoustic Instrumental,0.218,0.383,0.26,58
Acoustic Instrumental,0.301,0.0383,0.279,59
Instrumental Focus,0.204,1.3e-06,0.132,55
Acoustic Instrumental,0.165,4.1e-05,0.17,54
Instrumental Focus,0.26,5.8e-05,0.0835,55
Acoustic Instrumental,0.83,0.257,0.0369,53
Instrumental Focus,0.202,1.35e-06,0.102,46
Instrumental Focus,0.0333,1.83e-06,0.0646,34
Acoustic Instrumental,0.211,0.827,0.0316,34
Acoustic Instrumental,0.00573,0.809,0.0901,33
Instrumental Focus,0.000286,0.384,0.117,34
Acoustic Instrumental,0.404,0.962,0.0339,29
Acoustic Instrumental,0.1,0.851,0.0521,30
Instrumental Focus,0.0528,0.455,0.102,31
Acoustic Instrumental,0.317,0.442,0.0847,26
Instrumental Focus,0.188,1.14e-06,0.0444,58
Instrumental Focus,0.183,1.22e-06,0.0388,60
Acoustic Instrumental,0.0916,1.98e-05,0.149,55
Instrumental Focus,0.249,1.35e-05,0.0486,54
Instrumental Focus,0.245,1.72e-05,0.0488,49
Acoustic Instrumental,0.184,0.00115,0.271,40
Acoustic Instrumental,0.184,0.00126,0.269,41
Acoustic Instrumental,0.0916,1.98e-05,0.149,39
Acoustic Instrumental,0.831,0.949,0.0406,40
Instrumental Focus,0.0493,0.000295,0.0639,45
Acoustic Instrumental,0.357,0.754,0.035,27
Instrumental Focus,0.0493,0.000295,0.0639,43
Acoustic Instrumental,0.792,0.73,0.048,34
Acoustic Instrumental,0.755,0.985,0.0683,33
Acoustic Instrumental,0.061,0.676,0.0343,28
Acoustic Instrumental,0.47,8.13e-05,0.373,61
Acoustic Instrumental,0.415,2.15e-06,0.384,53
Instrumental Focus,0.00948,0.000142,0.0447,49
Instrumental Focus,0.0556,1.21e-06,0.0943,53
Acoustic Instrumental,0.0158,0.727,0.0367,51
Instrumental Focus,0.0196,5.61e-06,0.076,52
Acoustic Instrumental,0.469,6.19e-05,0.388,48
Instrumental Focus,0.13,0.402,0.0641,46
Acoustic Instrumental,0.514,4.23e-06,0.315,42
Acoustic Instrumental,0.374,0.824,0.171,45
Instrumental Focus,0.00826,0.000264,0.0415,40
Acoustic Instrumental,0.514,4.23e-06,0.315,38
Acoustic Instrumental,0.344,0.0039,0.27,48
Acoustic Instrumental,0.182,0.948,0.168,35
Acoustic Instrumental,0.0158,0.882,0.0339,30
Acoustic Instrumental,0.638,0.00149,0.0712,30
Instrumental Focus,0.163,0.00107,0.0379,33
Instrumental Focus,0.0199,4.12e-06,0.0663,26
Instrumental Focus,0.242,2.97e-05,0.0479,27
Instrumental Focus,0.137,0.000274,0.076,43
Instrumental Focus,0.283,4.14e-05,0.101,27
Acoustic Instrumental,0.643,3e-06,0.0378,64
Instrumental Focus,0.287,0.000361,0.0414,56
Acoustic Instrumental,0.622,1.1e-06,0.255,53
Acoustic Instrumental,0.345,0.00406,0.268,52
Instrumental Focus,0.137,0.000276,0.0758,55
Instrumental Focus,0.137,0.000276,0.0758,45
Acoustic Instrumental,0.36,2.28e-06,0.214,45
Acoustic Instrumental,0.702,0.00143,0.0369,47
Instrumental Focus,0.00145,9.2e-06,0.115,47
Acoustic Instrumental,0.554,3.7e-06,0.177,46
Acoustic Instrumental,0.747,2.88e-05,0.0857,39
Acoustic Instrumental,0.64,0.000508,0.0379,28
Instrumental Focus,0.00433,0.441,0.0333,38
Instrumental Focus,0.283,4.14e-05,0.101,40
Acoustic Instrumental,0.364,0.000548,0.0584,39
Instrumental Focus,0.0138,0.000251,0.113,30
Instrumental Focus,0.152,0.000135,0.0789,34
Acoustic Instrumental,0.616,0.000137,0.0453,30
Instrumental Focus,0.00145,9.2e-06,0.115,42
Instrumental Focus,0.0971,0.0258,0.0445,29
Acoustic Instrumental,0.413,0.00013,0.0268,38
Instrumental Focus,0.279,0.00691,0.0977,26
Acoustic Instrumental,0.702,0.00143,0.0369,33
Acoustic Instrumental,0.573,2.97e-05,0.0349,27
Instrumental Focus,0.151,0.00382,0.0354,61
Acoustic Instrumental,0.476,3.22e-06,0.14,61
Acoustic Instrumental,0.54,7.28e-05,0.208,58
Instrumental Focus,0.1,0.008,0.0299,48
Instrumental Focus,0.0798,5.89e-06,0.0636,56
Acoustic Instrumental,0.616,0.000137,0.0453,54
Acoustic Instrumental,0.0764,1.15e-06,0.201,48
Acoustic Instrumental,0.537,0.748,0.028,50
Acoustic Instrumental,0.444,2.74e-06,0.0552,49
Acoustic Instrumental,0.311,4.47e-06,0.193,50
Acoustic Instrumental,0.251,0.00625,0.303,47
Instrumental Focus,0.121,7.41e-05,0.0489,43
Acoustic Instrumental,0.758,0.000438,0.0348,50
Instrumental Focus,0.0311,6.65e-05,0.0479,47
Instrumental Focus,0.203,0.00222,0.0435,42
Instrumental Focus,0.00967,6.5e-05,0.0298,50
Acoustic Instrumental,0.516,0.327,0.0393,42
Acoustic Instrumental,0.726,0.878,0.0518,38
Acoustic Instrumental,0.476,3.22e-06,0.14,44
Acoustic Instrumental,0.431,0.945,0.0302,33
Instrumental Focus,0.0766,0.000345,0.0559,34
Acoustic Instrumental,0.285,0.698,0.113,33
Acoustic Instrumental,0.666,2.56e-06,0.226,30
Instrumental Focus,0.181,0.0566,0.0777,29
Acoustic Instrumental,0.0997,0.899,0.0576,29
Instrumental Focus,0.0111,0.000483,0.0416,29
Acoustic Instrumental,0.672,0.000226,0.0363,34
Acoustic Instrumental,0.456,0.00152,0.0354,29
Instrumental Focus,0.151,0.00382,0.0354,37
Acoustic Instrumental,0.513,0.749,0.314,28
Acoustic Instrumental,0.604,0.73,0.0684,30
Acoustic Instrumental,0.901,0.425,0.0303,31
Acoustic Instrumental,0.146,0.941,0.0859,26
Instrumental Focus,0.0275,3.88e-05,0.0654,30
Acoustic Instrumental,0.543,1.58e-05,0.153,28
Instrumental Focus,0.287,0.000361,0.0414,60
Acoustic Instrumental,0.622,1.1e-06,0.255,58
Acoustic Instrumental,0.413,0.00013,0.0268,63
Acoustic Instrumental,0.0764,1.15e-06,0.201,56
Acoustic Instrumental,0.616,0.000137,0.0453,60
Acoustic Instrumental,0.0566,1.27e-05,0.198,51
Acoustic Instrumental,0.251,0.00625,0.303,47
Instrumental Focus,0.202,2.83e-05,0.0313,44
Instrumental Focus,0.00338,0.0814,0.134,45
Instrumental Focus,0.00446,1.07e-06,0.0612,44
Acoustic Instrumental,0.747,2.88e-05,0.0857,44
Acoustic Instrumental,0.364,0.000548,0.0584,46
Instrumental Focus,0.255,1.11e-05,0.116,35
Acoustic Instrumental,0.901,0.425,0.0303,46
Instrumental Focus,0.22,3.71e-06,0.0377,43
Instrumental Focus,0.165,8.31e-06,0.101,29
Instrumental Focus,0.206,0.00024,0.0675,37
Acoustic Instrumental,0.841,0.00645,0.0311,26
Acoustic Instrumental,0.537,1.77e-06,0.0359,41
Instrumental Focus,0.0775,8.86e-05,0.0641,35
Acoustic Instrumental,0.252,0.00259,0.277,37
Instrumental Focus,0.293,3.73e-05,0.0278,34
Instrumental Focus,0.139,0.000302,0.068,34
Acoustic Instrumental,0.374,7.48e-06,0.0371,30
Acoustic Instrumental,0.096,2.37e-06,0.158,26
Acoustic Instrumental,0.159,0.000239,0.346,57
Acoustic Instrumental,0.353,0.00278,0.138,60
Acoustic Instrumental,0.0685,2.5e-05,0.208,54
Acoustic Instrumental,0.0176,0.186,0.326,48
Acoustic Instrumental,0.617,4.59e-06,0.136,56
Acoustic Instrumental,0.341,9.42e-05,0.185,51
Acoustic Instrumental,0.617,4.59e-06,0.136,48
Acoustic Instrumental,0.637,0.733,0.0281,40
Acoustic Instrumental,0.673,0.000323,0.0273,43
Acoustic Instrumental,0.695,6.26e-06,0.0325,44
Acoustic Instrumental,0.447,4.15e-06,0.161,42
Acoustic Instrumental,0.204,8.56e-06,0.185,39
Acoustic Instrumental,0.341,9.42e-05,0.185,42
Acoustic Instrumental,0.447,4.15e-06,0.161,32
Acoustic Instrumental,0.00687,0.418,0.216,34
Instrumental Focus,0.22,3.71e-06,0.0377,29
Instrumental Focus,0.0497,0.00353,0.148,33
Acoustic Instrumental,0.543,1.58e-05,0.153,32
Instrumental Focus,0.16,0.00107,0.107,29
Acoustic Instrumental,0.214,2.33e-05,0.186,31
Acoustic Instrumental,0.197,0.966,0.0699,29
Instrumental Focus,0.159,0.394,0.115,26
Acoustic Instrumental,0.125,0.763,0.0306,26
Acoustic Instrumental,0.573,2.97e-05,0.0349,65
Acoustic Instrumental,0.373,6.5e-06,0.0294,68
Acoustic Instrumental,0.898,1.73e-05,0.028,49
Instrumental Focus,0.322,2.97e-06,0.0272,41
Acoustic Instrumental,0.424,3.62e-05,0.0273,46
Acoustic Instrumental,0.444,2.73e-06,0.0562,38
Instrumental Focus,0.0556,1.21e-06,0.0943,29
Acoustic Instrumental,0.436,1.59e-05,0.0282,61
Instrumental Focus,0.0556,1.21e-06,0.0943,60
Acoustic Instrumental,0.457,0.0299,0.0679,58
Instrumental Focus,0.174,1.01e-05,0.029,55
Acoustic Instrumental,0.489,2.16e-05,0.0358,57
Acoustic Instrumental,0.444,2.74e-06,0.0552,57
Instrumental Focus,0.204,0.000198,0.0359,53
Acoustic Instrumental,0.36,2.28e-06,0.214,53
Acoustic Instrumental,0.548,7.3e-06,0.144,33
Acoustic Instrumental,0.336,5.58e-05,0.292,40
Instrumental Focus,0.0349,0.000162,0.0662,29
Acoustic Instrumental,0.404,4.41e-05,0.0538,26
Instrumental Focus,0.22,3.71e-06,0.0377,69
Acoustic Instrumental,0.59,1.79e-05,0.158,63
Instrumental Focus,0.293,3.67e-05,0.0278,69
Acoustic Instrumental,0.543,1.61e-05,0.153,57
Acoustic Instrumental,0.372,7.67e-06,0.0344,67
Acoustic Instrumental,0.253,0.00254,0.277,53
Instrumental Focus,0.00336,0.341,0.0455,46
Instrumental Focus,0.0485,0.000125,0.15,48
Acoustic Instrumental,0.404,0.62,0.084,39
Acoustic Instrumental,0.117,0.015,0.232,68
Acoustic Instrumental,0.875,1.28e-06,0.0304,70
Acoustic Instrumental,0.875,1.28e-06,0.0304,66
Acoustic Instrumental,0.455,0.000227,0.416,34
Acoustic Instrumental,0.117,0.015,0.232,63
Acoustic Instrumental,0.152,4.17e-05,0.322,54
Acoustic Instrumental,0.46,2.09e-05,0.256,27
Acoustic Instrumental,0.899,2.73e-06,0.0276,44
Acoustic Instrumental,0.899,2.73e-06,0.0276,49
Acoustic Instrumental,0.163,0.000976,0.213,34
Acoustic Instrumental,0.514,8.47e-06,0.156,37
Instrumental Focus,0.00842,0.0312,0.053,48
Acoustic Instrumental,0.91,0.00636,0.0329,30
Acoustic Instrumental,0.452,2.49e-06,0.0352,29
Instrumental Focus,0.0417,5.03e-05,0.0444,26
Instrumental Focus,0.0389,7e-05,0.0425,57
Acoustic Instrumental,0.0148,3.97e-05,0.414,51
Acoustic Instrumental,0.198,2.4e-06,0.408,47
Acoustic Instrumental,0.014,3.16e-05,0.397,53
Acoustic Instrumental,0.012,0.000178,0.333,37
Acoustic Instrumental,0.755,0.266,0.209,44
Instrumental Focus,0.0834,0.00348,0.0404,34
Acoustic Instrumental,0.186,1.11e-05,0.36,31
Acoustic Instrumental,0.772,1.94e-06,0.0308,37
Acoustic Instrumental,0.196,2.01e-06,0.429,35
Acoustic Instrumental,0.737,0.322,0.148,32
Acoustic Instrumental,0.0126,0.00021,0.374,30
Acoustic Instrumental,0.718,0.119,0.239,26
Acoustic Instrumental,0.0821,1.09e-06,0.241,27
Acoustic Instrumental,0.079,3.25e-06,0.349,26
Acoustic Instrumental,0.188,8.22e-05,0.27,31
Instrumental Focus,0.122,2.81e-06,0.124,28
Acoustic Instrumental,0.549,0.000136,0.174,51
Instrumental Focus,0.0718,0.000308,0.116,51
Instrumental Focus,0.331,0.00282,0.0508,45
Acoustic Instrumental,0.279,0.026,0.276,34
Acoustic Instrumental,0.876,0.879,0.208,41
Acoustic Instrumental,0.89,0.000329,0.0326,47
Acoustic Instrumental,0.699,0.00051,0.329,45
Acoustic Instrumental,0.893,0.000297,0.0328,41
Instrumental Focus,0.331,0.00282,0.0508,37
Acoustic Instrumental,0.759,5.43e-06,0.351,42
Acoustic Instrumental,0.699,0.00051,0.329,44
Instrumental Focus,0.297,0.0119,0.107,35
Acoustic Instrumental,0.759,5.43e-06,0.351,37
Instrumental Focus,0.0718,0.000308,0.116,39
Acoustic Instrumental,0.279,0.026,0.276,32
Acoustic Instrumental,0.892,0.158,0.0313,38
Instrumental Focus,0.0509,0.0525,0.106,27
Instrumental Focus,0.0641,0.000124,0.123,33
Acoustic Instrumental,0.446,4.56e-06,0.215,30
Acoustic Instrumental,0.754,0.3,0.232,36
Acoustic Instrumental,0.727,0.00142,0.255,30
Acoustic Instrumental,0.517,0.82,0.193,27
Acoustic Instrumental,0.727,0.00142,0.255,31
Acoustic Instrumental,0.566,1.02e-05,0.174,26
Acoustic Instrumental,0.375,0.894,0.162,27
Acoustic Instrumental,0.202,0.000275,0.557,27
Acoustic Instrumental,0.581,0.000165,0.168,55
Instrumental Focus,0.0645,0.000106,0.124,31
Acoustic Instrumental,0.824,0.00223,0.0311,66
Acoustic Instrumental,0.00288,0.709,0.0528,42
Acoustic Instrumental,0.909,0.00524,0.0315,45
Acoustic Instrumental,0.691,0.00288,0.0315,40
Acoustic Instrumental,0.715,0.00364,0.0415,42
Acoustic Instrumental,0.677,0.794,0.0335,45
Instrumental Focus,0.0539,0.0131,0.0351,32
Acoustic Instrumental,0.777,6.51e-06,0.0296,47
Acoustic Instrumental,0.633,4.03e-05,0.0415,44
Acoustic Instrumental,0.928,2.46e-06,0.0283,43
Acoustic Instrumental,0.846,0.124,0.0328,37
Acoustic Instrumental,0.574,0.0443,0.0311,29
Acoustic Instrumental,0.519,0.326,0.0286,30
Acoustic Instrumental,0.406,7.08e-05,0.0445,28
Acoustic Instrumental,0.00227,0.951,0.0383,29
Acoustic Instrumental,0.777,6.6e-06,0.0295,63
Acoustic Instrumental,0.911,0.00188,0.0671,34
Acoustic Instrumental,0.402,3.11e-05,0.377,37
Acoustic Instrumental,0.715,0.00363,0.0415,63
Instrumental Focus,0.0917,2.74e-05,0.047,58
Instrumental Focus,0.271,2.65e-05,0.0336,67
Acoustic Instrumental,0.781,0.000101,0.423,62
Instrumental Focus,0.0153,0.00834,0.0381,62
Instrumental Focus,0.0686,0.00097,0.0631,44
Acoustic Instrumental,0.152,0.0034,0.234,51
Acoustic Instrumental,0.547,3.96e-05,0.0444,53
Acoustic Instrumental,0.63,3.05e-06,0.0349,58
Acoustic Instrumental,0.845,0.122,0.033,45
Acoustic Instrumental,0.222,3.02e-06,0.211,34
Instrumental Focus,0.107,0.000373,0.0397,36
Instrumental Focus,0.0146,0.000402,0.0809,42
Acoustic Instrumental,0.42,0.0153,0.0488,36
Acoustic Instrumental,0.902,0.0155,0.0379,37
Instrumental Focus,0.186,0.00118,0.0512,43
Instrumental Focus,0.112,0.000787,0.119,38
Acoustic Instrumental,0.00677,0.912,0.0934,29
Instrumental Focus,0.177,0.00129,0.0748,26
Instrumental Focus,0.253,0.000175,0.0315,31
Acoustic Instrumental,0.969,8.44e-06,0.754,28
Acoustic Instrumental,0.438,3.92e-06,0.044,38
Acoustic Instrumental,0.772,0.000153,0.0476,39
Acoustic Instrumental,0.741,0.000257,0.0274,65
Instrumental Focus,0.235,0.000193,0.0945,53
Acoustic Instrumental,0.412,6.99e-05,0.0458,52
Acoustic Instrumental,0.933,0.0382,0.0333,51
Acoustic Instrumental,0.928,2.46e-06,0.0283,52
Acoustic Instrumental,0.516,0.864,0.15,42
Acoustic Instrumental,0.11,1.46e-05,0.267,45
Instrumental Focus,0.0337,1.16e-06,0.0634,32
Instrumental Focus,0.216,0.000749,0.0758,42
Acoustic Instrumental,0.957,0.945,0.0263,30
Acoustic Instrumental,0.61,1.53e-05,0.297,29
Acoustic Instrumental,0.754,7.23e-06,0.0999,33
Instrumental Focus,0.0771,2.21e-06,0.144,55
Acoustic Instrumental,0.108,1.13e-06,0.258,43
Acoustic Instrumental,0.0133,0.000187,0.398,48
Acoustic Instrumental,0.574,0.0443,0.0311,46
Instrumental Focus,0.0559,0.0223,0.0675,38
Acoustic Instrumental,0.787,0.419,0.0313,39
Instrumental Focus,0.202,0.0681,0.0379,33
Acoustic Instrumental,0.367,8.83e-06,0.181,30
Acoustic Instrumental,0.658,0.00594,0.108,31
Instrumental Focus,0.204,0.106,0.13,29
Acoustic Instrumental,0.635,4.02e-05,0.0415,55
Instrumental Focus,0.0841,3.01e-06,0.131,27
Acoustic Instrumental,0.772,0.000164,0.0475,28
Acoustic Instrumental,0.786,0.000313,0.03,54
Acoustic Instrumental,0.89,0.00743,0.0252,42
Acoustic Instrumental,0.7,6.62e-05,0.123,44
Acoustic Instrumental,0.377,7.96e-05,0.106,28
Instrumental Focus,0.216,2.94e-05,0.0325,64
Acoustic Instrumental,0.687,5.17e-05,0.0314,64
Acoustic Instrumental,0.8,2.58e-06,0.0911,56
Instrumental Focus,0.232,0.00055,0.0577,55
